area,baseline_source_or_pattern,graha_action,implementation_rule
Repository discipline,gloskin-site-core CONTRIBUTING + canonical docs,RETAIN_ADAPT,"Graha repo is developer source of truth; project-9901 provenance only; coherent main commits"
Architecture shape,Gloskin modular monolith / Kernel,RETAIN_ADAPT,"One Kernel; <=8 bootable owners; no System god object"
Raw source handling,Gloskin raw-project policy,RETAIN,"Never copy raw DOCX/XLSX into repo; normalize developer requirements here"
Gloskin treatment model,gloskin_treatment CPT,REMOVE,"No treatment domain in Graha"
Gloskin clinic model,gloskin_clinic CPT,REMOVE,"Do not invent branch CPT; small approved location data should use native Page/meta/settings unless need proves otherwise"
Gloskin doctor model,gloskin_doctor CPT,REMOVE,"No doctor domain"
Native product ownership,current Graha owner decision,ADD_NARROW,"ProductContentService registers graha_product plus native category/brand taxonomies; WordPress owns CRUD/posts/terms/meta/media; no Woo prerequisite"
ProductContentService,first-party native product owner,ADD_SMALL,"Registration only; no custom product CRUD/table/migration execution/template ownership"
TemplateService,Gloskin TemplateService,RETAIN_ADAPT,"Small page-specific contexts; Graha shell; no global site dataset"
AssetService,Gloskin AssetService,RETAIN_ADAPT,"One asset registry; conditional load; no recovery/queue-repair subsystem"
NavigationService,Gloskin NavigationService,RETAIN_ADAPT,"One normalized WP menu tree for desktop/mobile"
AdminService,Gloskin AdminService,RETAIN_SMALL,"Single Graha root; link native product/category/brand screens; no custom admin framework"
FormAdapter,Gloskin FormAdapter,RETAIN_ADAPT,"External provider owns submission/mail/security/storage"
Lifecycle framework,Gloskin LifecycleService,REDUCE,"Use narrow activation/deactivation/version callbacks; no dedicated bootable service unless needed"
SEO exclusion wording,Gloskin docs that exclude operational SEO,REINTERPRET,"Operational SEO stays excluded; developer-side semantic/crawlable/performance structure is mandatory"
SeoService,new Graha owner,ADD_SMALL,"Own integration boundary/breadcrumb semantic helpers/provider guards; never own campaigns/duplicate metadata/schema"
SEO proxy admin,Morgen/legacy Rank Math proxy helpers,REMOVE,"Use supported provider hooks; do not recreate SEO provider admin"
Custom sitemap engine,Morgen/custom SEO machinery,REMOVE,"WordPress/SEO provider owns sitemap"
Schema duplication,hard-coded template JSON-LD,REJECT,"One provider graph; Graha templates do not duplicate metadata/schema"
Image SEO repair,Morgen alt repair migrations,REMOVE,"Use WordPress Media alt data; no invented product alt claims"
Custom product manager,Morgen custom catalog/admin,REMOVE,"Standard WordPress graha_product CRUD is authoritative; no parallel manager"
Product migration framework,Morgen historical product repair modules,REMOVE_GENERIC_KEEP_NARROW,"Keep only the approved fixed-bundle one-shot ProductCatalogMigration; no historical incident framework"
Custom brand registry,parallel taxonomy/option list,REMOVE,"Use the single native graha_product_brand taxonomy"
Custom technical library,Morgen Technical Library,REMOVE_BY_DEFAULT,"Approved product resource links remain normal content/meta; no PDF/document subsystem"
PDF preview/poster,Morgen PDF preview/raster pipeline,REMOVE,"No requirement in Graha site builder baseline"
Secure downloads,Morgen token/signed download flows,REMOVE,"Use approved WP/external URLs unless separate secure-download scope appears"
Custom mail,Morgen inquiry mail/transport/admin,REMOVE,"Form provider owns submission and mail"
Custom form security,Morgen form-security stack,REMOVE_BY_DEFAULT,"External form provider owns public anti-spam/captcha; first-party admin uses WP security"
Generic migration manager,Morgen CASE/PROD migration framework,REMOVE,"Graha keeps only its fixed one-shot product bundle lifecycle; no generic migration manager"
Repair/recovery framework,Morgen registry shield/reconciliation/diagnosis,REMOVE,"Fix canonical owner; no speculative recovery layers"
Telemetry,Morgen telemetry,REMOVE,"No Graha telemetry requirement"
Custom cache framework,Morgen caches,REMOVE_BY_DEFAULT,"Profile first; use WordPress cache semantics"
Virtual routing,Morgen request-claim/proxy routes,REMOVE_BY_DEFAULT,"Use native Pages/Posts/CPT/taxonomy rewrites"
Legacy redirect handling,current Graha URL migration,ADD_NARROW,"Explicit KEEP/REDIRECT/RETIRE inventory; one operational redirect owner; no guessed wildcards"
Products duplicate,current /products/ + /products-2/,PRUNE_AFTER_MIGRATION,"Keep one canonical /products/ graha_product archive; expected redirect after unique content review"
Articles,current /articles/ hub + /blog/ singles,RETAIN_LEGACY_BEHAVIOR,"Do not change permalink only for cosmetic consistency; explicit redirects required if changed"
Product uncategorized,current public product content issue,CONTENT_MIGRATION_CONCERN,"Do not solve in template code; taxonomy cleanup belongs to native product content migration/editorial work"
Visible SEO control notes,current public product content,REJECT_OUTPUT_PATTERN,"Templates must not leak keyword/meta-title/meta-description control notes into user-facing body"
NAP hard-coding,current public address inconsistencies,REJECT,"Choose approved canonical contact data owner before launch; no template literals"
