page_family,route_pattern,baseline_count_or_rule,content_owner,implementation_owner,required_content_or_behavior,seo_geo_requirement,migration_intent
Home,/,1,WordPress Page,Graha SiteLifecycleService+TemplateService,"usable immediately after fresh activation; H1/value; 2 anchor product groups; 3 supporting groups; CNG specialist; brand/application/spec discovery; services/company; RFQ; graceful zero-product state","SSR primary content; one H1; anchor links; LCP strategy",KEEP
About,/about-us/,1,WordPress Page,Graha SiteLifecycleService+TemplateService,"approved company/history/vision-mission/capabilities/trust/location CTA","consistent approved facts; semantic sections",KEEP
Products Hub,/products/,1_canonical_hub_within_18_baseline,graha_product archive,Graha ProductContentService+TemplateService,"canonical product discovery; category/brand/application/specification entry doors; pagination/filter","one canonical hub; crawlable pagination; filter URL control",KEEP
Legacy Products Surface,/products-2/,legacy_action_row,Legacy Page/portfolio,redirect_owner,"migrate unique useful content then remove competing product-hub intent","no duplicate canonical/indexable archive",RECONCILE_EXPECT_REDIRECT
Product_or_Series,/product/{slug}/,68_baseline_product_series_intents,graha_product,Graha ProductContentService+TemplateService,"gallery; summary; structured specs; resources; compatible fittings; RFQ; related discovery","provider-safe Product schema; semantic specs; stable slug",KEEP_OR_MIGRATE
Product Category,/product-category/{slug}/,subset_of_hub_taxonomy_inventory,graha_product_category,Graha ProductContentService+TemplateService,"title/intro/hierarchy/products/pagination/filter/related discovery","canonical term route; breadcrumbs; crawl-safe filters",KEEP_IF_CONTINUING
Brand,/brand/{slug}/,hub_or_taxonomy_rows_as_reconciled,graha_product_brand,Graha ProductContentService+TemplateService,"brand intro/products/related categories/applications","one authoritative native brand taxonomy; evidence-backed claims",KEEP_IF_CONTINUING
Application,approved_existing_application_permalink,4_baseline_application_intents,WordPress Page,Graha TemplateService,"distinct application need; products; specifications; proof; RFQ","unique intent; no doorway pages; internal product links",KEEP_OR_MIGRATE
Services Hub,/layanan-kami/,1_retained_hub,WordPress Page,Graha SiteLifecycleService+TemplateService,"crimping/assembly; custom fitting/coupling/flange; consultation; repair/replacement; workshop proof; RFQ","visible useful service content; buyer path",KEEP
Legacy Services,/services/,legacy_merge_candidate,Legacy Page,redirect_owner,"consolidate to retained services intent after unique-content review","one service hub; internal links point final",MERGE_REDIRECT
Service Detail,approved_native_page_permalink,only_if_distinct_approved,WordPress Page,Graha TemplateService,"process/capability/application/media/RFQ","unique intent only; no thin generated service pages",OPTIONAL
Articles Hub,/articles/,1_hub,WordPress Posts + archive/Page,Graha TemplateService,"article grid/categories/pagination","crawlable pagination; stable article links",KEEP
Article Single,/blog/{post-slug}/,dynamic_existing_posts,WordPress Post,Graha TemplateService,"title/content/media/date/author if intended/breadcrumb/related discovery","Article provider compatibility; no public SEO-control notes",KEEP_UNLESS_MAPPED
Technical RFQ,/request-quote/,required_experience,WordPress Page + form provider,Graha SiteLifecycleService+TemplateService+FormAdapter,"dynamic fields; secure upload when approved; source context; buyer/reseller routing; WhatsApp; conversion events","no indexable form-state duplicates; privacy/security",REQUIRED
Contact,/contact-us/,1_hub,WordPress Page + form provider,Graha SiteLifecycleService+TemplateService+FormAdapter,"approved NAP/channels/map; buyer RFQ first; reseller/cooperation secondary","one approved contact dataset; semantic tel/mail links",KEEP
Evergreen_or_Topic,approved_existing_permalink,part_of_18_hub_baseline_when_classified,WordPress Page,Graha TemplateService,"distinct industrial/product guidance with useful content","one primary intent; no mass keyword generation",KEEP_OR_RECONCILE
Legal_Trust,approved_native_or_provider_route,required_when_linked_or_legally_needed,WordPress/provider,Graha TemplateService,"real privacy/terms/cookie/trust destinations","no href=#; no fake filler pages",REQUIRED_AS_APPLICABLE
Search,WordPress search,utility_not_in_96_unless_explicit,WordPress,Graha TemplateService,"useful search/filter state","robots/provider policy; no thin intentional landing",CONFIG_DEPENDENT
404,WordPress 404,utility,WordPress,Graha TemplateService,"helpful not-found with product/search/contact paths","real 404; no soft-404",REQUIRED
Redirect Baseline,legacy_urls,5,Wider migration inventory,single redirect owner,"five brief-baseline merge/301 decisions reconciled to current crawl","one-hop/no-loop; sitemap excludes old URLs",REDIRECT
Retire Baseline,legacy_url,1,Wider migration inventory,HTTP status owner,"one brief-baseline retire decision reconciled","appropriate 404/410; no Home redirect",RETIRE
